[2026-07-22T08:56:48.366Z] GET https://static1.squarespace.com/static/versioned-site-css/5f3874da9e73700975a00b12/426/5c5a519771c10ba3470d8101/5f3874da9e73700975a00b34/1810/site.css?nocustom=true → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1784658820989-T86EF34M4QVPBBCSSFUN/static.css → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://static1.squarespace.com/static/custom-css/5f3874da9e73700975a00b12/5f3874da9e73700975a00b34/0/custom.css → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js → 200 (27ms, 33660B)
[2026-07-22T08:56:48.366Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/1598311923613-QLM3MJNU1Q30HCAKGVW0/EHF+Logo+Color+Dark.png?format=1500w → pending (?ms, ?B)
[2026-07-22T08:56:48.366Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/5d75a977-434f-4dc6-b990-59e19761ec7a/Copy+of+Pukaki+banner+mock+up+%289%29.png?format=1500w → pending (?ms, ?B)
[2026-07-22T08:56:48.513Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.3ac4db8e38074e1383b5ecad2061af25.js → pending (?ms, ?B)
[2026-07-22T08:56:48.513Z] GET https://cdn.jsdelivr.net/npm/jquery-validation@1.19.0/dist/jquery.validate.min.js → 200 (33ms, 8911B)
[2026-07-22T08:56:47.964Z] POST https://performance.squarespace.com/api/v1/records → 200 (340ms, 157B)
[2026-07-22T08:56:48.866Z] GET https://www.ehf.org/universal/svg/social-accounts.svg → 200 (85ms, 119725B)
[2026-07-22T08:56:48.889Z] GET https://file.squarespace-cdn.com/content/v2/namespaces/fonts/libraries/sqsp/assets/c5eb5305-ba43-45a4-97e1-2fcb7b175375/latin.woff2 → 200 (99ms, 30504B)
[2026-07-22T08:56:48.889Z] GET https://file.squarespace-cdn.com/content/v2/namespaces/fonts/libraries/sqsp/assets/c5ed9101-d1bb-405b-8272-982162f2dbab/latin.woff2 → 200 (122ms, 30504B)
[2026-07-22T08:56:48.889Z] GET https://file.squarespace-cdn.com/content/v2/namespaces/fonts/libraries/sqsp/assets/c0120ee3-d64a-4b32-b3e3-5944e8eb8664/latin.woff2 → 200 (107ms, 95360B)
[2026-07-22T08:56:48.889Z] GET https://file.squarespace-cdn.com/content/v2/namespaces/fonts/libraries/sqsp/assets/5d9b735a-2fdf-4c34-b1d5-eeb65d115288/latin.woff2 → 200 (133ms, 95360B)
[2026-07-22T08:56:48.889Z] GET https://file.squarespace-cdn.com/content/v2/namespaces/fonts/libraries/sqsp/assets/9c9641aa-f3ae-4d98-a4ce-9c9b0ab98491/symbols.woff2 → 200 (109ms, 2512B)
[2026-07-22T08:56:48.889Z] GET https://file.squarespace-cdn.com/content/v2/namespaces/fonts/libraries/sqsp/assets/c74501d2-fa87-406d-b097-39df7ed42a23/latin-ext.woff2 → 200 (133ms, 70208B)
[2026-07-22T08:56:48.889Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/75109450-cde7-403b-ac94-d9417c46493b/Group+1234.png?format=1500w → 200 (162ms, 221342B)
[2026-07-22T08:56:48.889Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/d93de4ce-b780-4a31-914a-721ce3b304e2/nasa-vhSz50AaFAs-unsplash.jpg?format=750w → 200 (165ms, 73047B)
[2026-07-22T08:56:48.889Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/67272ae6-b84a-4f77-9e0a-56b60bf3d331/%EF%81%98.png?format=100w → 200 (183ms, 575B)
[2026-07-22T08:56:48.889Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/edd64ee2-17a6-4edc-97cc-67502a2e2a88/Rectangle+60.png?format=750w → 200 (165ms, 280400B)
[2026-07-22T08:56:48.889Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/8af330dd-64a4-4fbe-8f7b-9fe610d58130/GIVs-Logo+%281%29.png?format=750w → 200 (219ms, 18465B)
[2026-07-22T08:56:48.889Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/fe121e40-2038-4aa4-a59d-20d2f7189a25/image+%282%29.jpg?format=750w → 200 (221ms, 33674B)
[2026-07-22T08:56:57.979Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/gallery-reel.55a3e0f32522be1f9f68.js → 200 (64ms, 4974B)
[2026-07-22T08:56:57.979Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/218.0b8cda1ba2594c34a7c9.js → 200 (65ms, 4653B)
[2026-07-22T08:56:57.979Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/lightbox.8b0f87891a04601f9473.js → 200 (62ms, 1233B)
[2026-07-22T08:56:57.998Z] GET https://www.google.com/recaptcha/enterprise.js?onload=__grecaptchaOnLoadCallback&render=6LdDFQwjAAAAAPigEvvPgEVbb7QBm-TkVJdDTlAv → 200 (12ms, 1577B)
[2026-07-22T08:56:57.998Z] GET https://assets.squarespace.com/universal/scripts-compressed/50785-5da795d97049b11f-min.en-US.js → 200 (253ms, 5828B)
[2026-07-22T08:56:57.998Z] GET https://assets.squarespace.com/universal/scripts-compressed/82365-7f8bed8d727a2323-min.en-US.js → 200 (323ms, 6182B)
[2026-07-22T08:56:57.998Z] GET https://assets.squarespace.com/universal/scripts-compressed/51032-5b10f78cd55ee141-min.en-US.js → 200 (360ms, 40213B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/12650-53ff0a28f9221293-min.en-US.js → 200 (262ms, 3038B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/93003-12fa20f83c762315-min.en-US.js → 200 (425ms, 23312B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/43697-f517c2140e5fa74a-min.en-US.js → 200 (408ms, 3835B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/29373-ce744d4f84228bda-min.en-US.js → 200 (408ms, 3667B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/16975-cb4dd2489e086630-min.en-US.js → 200 (322ms, 2402B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/36750-0e0dcc3bf656857b-min.en-US.js → 200 (427ms, 24036B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/22210-209b1ae1d4b7db72-min.en-US.js → 200 (360ms, 15477B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/48844-845adadf960f8a75-min.en-US.js → 200 (360ms, 4640B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/21865-abf93d213cf024da-min.en-US.js → 200 (420ms, 8216B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/styles-compressed/35ebb88013744865-min.en-US.css → 200 (241ms, 3629B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/async-commerce-cart-utils-7e31a7d05a3d896f-min.en-US.js → 200 (359ms, 4285B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/styles-compressed/8308d1793f387442-min.en-US.css → 200 (241ms, 1497B)
[2026-07-22T08:56:57.999Z] GET https://assets.squarespace.com/universal/scripts-compressed/async-reserved-cart-bootstrap-6c5f32fe56aefd87-min.en-US.js → 200 (408ms, 2217B)
[2026-07-22T08:56:57.999Z] POST https://www.ehf.org/api/census/RecordHit → 200 (359ms, 62B)
[2026-07-22T08:56:57.999Z] POST https://www.ehf.org/api/census/form-render → 200 (359ms, 67B)
[2026-07-22T08:56:57.999Z] POST https://www.ehf.org/api/census/button-render → 200 (359ms, 68B)
[2026-07-22T08:56:57.999Z] POST https://www.ehf.org/api/census/button-render → 200 (359ms, 66B)
[2026-07-22T08:56:57.999Z] POST https://www.ehf.org/api/census/button-render → 200 (358ms, 115B)
[2026-07-22T08:56:58.011Z] GET https://www.gstatic.com/recaptcha/releases/A7KpaEASfhDcK0nXxgQEyyYv/recaptcha__en.js → 200 (70ms, 382963B)
[2026-07-22T08:56:58.047Z] GET https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/floating-cart.333bd5aee1885e7af603.js → 200 (82ms, 613B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/1850c6bb-f5f1-41d5-902c-c0ed4fb1d221/7.png?format=1000w → 200 (87ms, 12503B)
[2026-07-22T08:56:58.049Z] GET https://images.squarespace-cdn.com/content/v1/5f3874da9e73700975a00b12/dfdd766c-1bf1-4ec2-91b6-45361259b9a5/5.png?format=1000w → 200 (90ms, 12999B)
